Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2014,Annual,Air Pollution,Alabama,36,10,0.06,,
2014,Annual,Air Pollution,Alaska,1,4.9,-2,,
2014,Annual,Air Pollution,Arizona,35,9.9,0,,
2014,Annual,Air Pollution,Arkansas,42,10.3,0.22,,
2014,Annual,Air Pollution,California,50,13.9,2,,
2014,Annual,Air Pollution,Colorado,7,6.8,-1.73,,
2014,Annual,Air Pollution,Connecticut,19,8.7,-0.67,,
2014,Annual,Air Pollution,Delaware,40,10.2,0.17,,
2014,Annual,Air Pollution,Florida,10,7.4,-1.4,,
2014,Annual,Air Pollution,Georgia,42,10.3,0.22,,
2014,Annual,Air Pollution,Hawaii,19,8.7,-0.67,,
2014,Annual,Air Pollution,Idaho,44,10.4,0.28,,
2014,Annual,Air Pollution,Illinois,47,11.4,0.84,,
2014,Annual,Air Pollution,Indiana,48,11.7,1.01,,
2014,Annual,Air Pollution,Iowa,32,9.6,-0.17,,
2014,Annual,Air Pollution,Kansas,22,8.8,-0.61,,
2014,Annual,Air Pollution,Kentucky,44,10.4,0.28,,
2014,Annual,Air Pollution,Louisiana,26,9.2,-0.39,,
2014,Annual,Air Pollution,Maine,12,7.6,-1.29,,
2014,Annual,Air Pollution,Maryland,36,10,0.06,,
2014,Annual,Air Pollution,Massachusetts,13,7.7,-1.23,,
2014,Annual,Air Pollution,Michigan,22,8.8,-0.61,,
2014,Annual,Air Pollution,Minnesota,14,8,-1.06,,
2014,Annual,Air Pollution,Mississippi,27,9.3,-0.34,,
2014,Annual,Air Pollution,Missouri,36,10,0.06,,
2014,Annual,Air Pollution,Montana,4,6.3,-2,,
2014,Annual,Air Pollution,Nebraska,14,8,-1.06,,
2014,Annual,Air Pollution,Nevada,27,9.3,-0.34,,
2014,Annual,Air Pollution,New Hampshire,11,7.5,-1.34,,
2014,Annual,Air Pollution,New Jersey,24,9,-0.5,,
2014,Annual,Air Pollution,New Mexico,9,7.1,-1.56,,
2014,Annual,Air Pollution,New York,18,8.5,-0.78,,
2014,Annual,Air Pollution,North Carolina,24,9,-0.5,,
2014,Annual,Air Pollution,North Dakota,3,5.4,-2,,
2014,Annual,Air Pollution,Ohio,46,10.9,0.56,,
2014,Annual,Air Pollution,Oklahoma,33,9.7,-0.11,,
2014,Annual,Air Pollution,Oregon,8,6.9,-1.68,,
2014,Annual,Air Pollution,Pennsylvania,48,11.7,1.01,,
2014,Annual,Air Pollution,Rhode Island,17,8.4,-0.84,,
