State Name,Air_Pollution_value,Air_Pollution_Score,All_Determinants_value,All_Outcomes_values,Binge_Drinking_value,Binge_Drinking_score,Cancer_Deaths_value,Cancer_Deaths_score,Cardiovascular_Deaths_value,Cardiovascular_Deaths_score,Children_in _Poverty_value,Children_in _Poverty_score,Chlamydia_value,Chlamydia_score,Cholesterol_Check_value,Cholesterol_Check_score,Colorectal_Cancer_Screening_score,Colorectal_Cancer_Screening_value,Dental_Visit_Annual_value,Dental_Visit_Annual_score,Dentists_value,Dentists_score,Diabetes_value,Diabetes_score,Disparity_in_Health_Status_value,Disparity in Health Status_score,Drug_Deaths_value,Drug_Deaths_score,Excessive Drinking_value,Excessive Drinking_score,Fruits_value,Fruits_score,Heart_Attack_value,Heart_Attack_score,Heart_Disease_value,Heart_Disease_score,High Blood Pressure_value,High Blood Pressure_score,High Cholesterol_value,High Cholesterol_score,High Health Status_value,High Health Status_score,High School Graduation_value,High School Graduation_score,Immunization_Adolescents_value,Immunization _Adolescents_score,Immunization_Children_value,Immunization_Children_score,Immunization Dtap_value,Immunization Dtap_score,HPV_value,HPV_score,Immunization_MCV4_value,Immunization MCV4_score,Income_Disparity_value,Income_Disparity_Ratio_value,Income Disparity Ratio_score,Infant_Mortality_value,Infant Mortality_score,Infectious Disease_score,Insufficient_Sleep_value,Insufficient Sleep_score,Lack of Health Insurance_value,Lack of Health Insurance_score,Low Birthweight_value,Low Birthweight_score,Median Household Income_value,Median Household Income_score,Obesity_value,Obesity_score,Youth obesity_value,Occupational Fatalities_score,Occupational Fatalities_value,Overall_value,Personal Income_Per Capita_value ,Personal Income_Per Capita_score ,Pertussis_value,Pertussis_score,Physical Activity_value,Physical Activity_score,Physical Inactivity_value,Physical Inactivity_score,Poor Mental Health Days_value,Poor Mental Health Days_score,Poor Physical Health Days_value,Poor Physical Health Days_score,Premature Death_value,Premature Death_score,Preterm Birth_value,Preterm Birth_score,Preventable Hospitalizations_value,Preventable Hospitalizations_score,Primary Care Physicians_value,Primary Care Physicians_score,Public Health Funding_value,Public Health Funding_score,Salmonella_value,Salmonella_score,Smoking_score,Smoking_value,Stroke_value,Stroke_score,suicide_value,suicide_score,Teen Birth Rate_value,Teeth Extractions_value,Teeth Extractions_score,Underemployment Rate_value,Underemployment Rate_score,Unemployment Rate_Annual_value,Unemployment Rate Annual_score,Vegetables_value,Vegetables_score,Violent Crime_value,Violent Crime_score,Youth Smoking_value
Alabama,10,0.06,-0.335,-0.329,11.2,-1.8,211.5,1.25,329.2,2,26.4,0.327,637.6,1.58,77.6,0.32,67.7,0.089,58.6,0.872,43.8,-1.557,13.8,2,19.4,-2,11.7,-0.263,12.3,-1.84,1.15,-1.79,5.9,1.75,5.3,1.26,40.3,2,44.4,2,44.4,-1.73,75,-0.91,65.5,-0.22,77,1.299,87.3,0.19,39.6,0.265,69.5,-0.649,0.475,5.18,0.54,8.6,2,0.65,37.5,0.62,13.4,-0.3,10,1.61,41381,-1.27,32.4,0.89,17.1,5.3,0.73,-0.664,36481,-1.077,4.4,-0.41,68.5,-1.43,31.5,1.43,4.4,1.46,4.9,1.82,10008,2,14.6,1.88,71.5,0.632,101.9,-0.812,116.5,0.69,23.9,0.79,21.5,0.71,4.7,2,15,0.492,39.2,8.5,1.41,12.2,-0.625,6.5,-0.572,1.75,-1,449.9,0.487,18
Alaska,4.9,-2,-0.058,0.183,19.5,0.87,191.8,0.11,219.2,-0.86,15.9,-0.201,755.8,2,70.1,-1.7,58.4,-1.633,67.4,1.003,80.9,1.617,7.1,-1.56,25.7,-1.12,14.4,0.283,21.1,0.91,1.4,0.07,3.1,-1.13,3.2,-0.94,29.8,-0.41,38.6,0.08,53.7,0.23,79,-0.3,52.2,-1.971,63.9,-1.279,74.3,-1.709,27.1,-1.391,55.2,-1.768,0.408,3.95,-2,4.5,-1.27,0.72,35.3,0,19.5,1.23,5.7,-1.851,61137,1.11,28.4,-0.3,12.4,6.1,1.12,0.125,50150,0.7,48.8,1.24,77.7,0.69,22.3,-0.69,3.1,-1.25,3.7,-0.36,7600,0.449,9.2,-1.39,46.7,-1.191,113.2,-0.387,218.51,2,8.1,-1.08,22.6,1.02,2.2,-0.85,23.2,2,34.5,3.9,-0.68,12.1,-0.664,6.5,-0.572,2.03,1,603.2,1.672,10.6
Arizona,9.9,0,-0.008,-0.03,13.4,-1.09,170.2,-1.14,216.1,-0.94,27.2,0.367,469.6,0.11,72.6,-1.03,60.5,-1.243,61.6,0.917,55,-0.599,10.7,0.68,36.6,1.02,17.7,0.95,14.8,-1.06,1.36,-0.22,4.4,0.21,4.1,0,30.7,-0.18,39.7,0.52,52.8,0.04,77,-0.61,69.5,0.312,65.1,-1.043,84.4,-0.234,37.4,-0.027,86.7,0.696,0.468,4.65,-0.71,5.9,-0.085,-0.1,34.6,-0.2,17.3,0.68,6.9,-0.885,50602,-0.16,26.8,-0.77,10.7,3.2,-0.29,-0.039,36983,-1.012,17.5,0.07,74.8,0.02,25.2,-0.02,3.9,0.42,4.4,0.91,7124,0.107,11.6,0.06,45.2,-1.302,98.4,-0.943,43.55,-1.2,13.3,-0.47,16.3,-0.77,2.8,0,18,1.195,37.4,4.2,-0.55,16,0.859,8,0.382,1.99,0.71,428.9,0.325,14.1
Arkansas,10.3,0.22,-0.655,-0.279,12.5,-1.38,214.9,1.45,313.7,1.66,23.8,0.196,565.4,0.95,72.3,-1.11,58.4,-1.626,54.9,-2,41.7,-1.736,11.5,1.18,24.2,-1.41,12.6,-0.081,13.7,-1.41,1.21,-1.34,5.1,0.93,5.3,1.26,38.7,1.87,42.4,1.59,42.7,-2,78,-0.45,47.5,-2,57.1,-2,77.7,-1.213,24.4,-1.749,40.4,-2,0.469,4.82,-0.31,7.2,1.016,0.9,36.1,0.23,16.2,0.4,8.7,0.563,39919,-1.45,34.6,1.54,17.8,7.5,1.79,-0.934,36698,-1.049,8.4,-0.26,65.6,-2,34.4,2,4.4,1.46,4.8,1.64,9656,1.929,13.3,1.09,71.6,0.64,102.6,-0.785,98.62,0.22,47.8,2,25.9,1.96,4.5,2,16.7,0.89,45.7,9.1,1.68,13.7,-0.039,7.5,0.064,1.78,-0.79,469.1,0.636,19.1
California,13.9,2,0.294,0.054,17.4,0.19,171,-1.09,234.4,-0.45,20.3,0.02,444.9,-0.1,75.2,-0.32,68.7,0.276,67,0.997,78,1.364,10.2,0.37,38.6,1.41,11,-0.404,18.9,0.22,1.67,2,3.3,-0.93,3.1,-1.05,28.7,-0.69,37.7,-0.28,50.7,-0.4,82,0.15,72.6,0.722,69.3,-0.217,91.1,0.745,45.8,1.087,80.9,0.242,0.49,5.25,0.71,4.6,-1.185,-0.4,33.7,-0.45,17.5,0.73,6.7,-1.046,57528,0.67,24.1,-1.57,,3.2,-0.29,0.348,48434,0.477,2.1,-0.5,78.6,0.9,21.4,-0.9,3.8,0.21,3.9,0,5590,-0.998,9.6,-1.15,45.3,-1.294,122.2,-0.049,104.4,0.37,12.1,-0.61,12.5,-1.84,2.2,-0.85,10.5,-0.562,26.5,2.4,-1.36,17.3,1.367,8.9,0.954,2.21,2,423.1,0.28,
Colorado,6.8,-1.73,0.35,0.223,18.5,0.55,163,-1.56,197.1,-1.45,14,-0.296,422.7,-0.3,76.4,0,67.2,-0.006,65.3,0.972,69.4,0.631,6.5,-1.93,36.5,1,14.8,0.364,19.9,0.53,1.47,0.6,3.1,-1.13,2.5,-1.68,26.3,-1.31,34.8,-1.43,58.3,1.2,82,0.15,66.6,-0.07,69.2,-0.236,87.1,0.161,39.1,0.199,73.6,-0.329,0.461,4.51,-1.04,5.1,-0.762,-0.22,29,-1.78,14.4,-0.05,8.8,0.644,63371,1.38,21.3,-2,,4.2,0.19,0.574,46897,0.277,29.2,0.51,82.1,1.71,17.9,-1.71,3.3,-0.83,3.4,-0.91,5991,-0.709,10.4,-0.67,38.2,-1.817,120.7,-0.105,85.22,-0.12,9.9,-0.86,17.7,-0.37,1.8,-1.42,20.2,1.71,25.4,3.4,-0.91,12.5,-0.508,6.8,-0.382,2,0.79,308.9,-0.603,
Connecticut,8.7,-0.67,0.56,0.178,18.2,0.45,177,-0.75,216.5,-0.93,15.3,-0.231,364.9,-0.8,83.1,1.81,74,1.263,76.1,1.132,79.1,1.456,8.3,-0.81,30.7,-0.14,11,-0.404,19.5,0.41,1.5,0.82,3.8,-0.41,4,-0.1,31.3,-0.03,37.8,-0.24,58.4,1.22,86,0.76,73.8,0.884,78.2,1.535,90.8,0.701,40.1,0.331,90.6,1.001,0.499,5.14,0.45,5.1,-0.762,-0.59,34.9,-0.11,9.3,-1.33,7.9,-0.08,67781,1.91,24.9,-1.34,12.3,2.8,-0.49,0.738,60658,2,5.1,-0.39,75.1,0.09,24.9,-0.09,3.5,-0.42,3.4,-0.91,5603,-0.988,9.7,-1.09,56.7,-0.456,166.7,1.624,71.06,-0.49,12.4,-0.58,15.5,-0.99,2.3,-0.71,10,-0.679,15.1,3.7,-0.77,13.9,0.039,7.8,0.254,1.93,0.29,283,-0.803,13.5
Delaware,10.2,0.17,-0.126,-0.1,17,0.06,201.9,0.69,246.9,-0.12,22.7,0.141,489.2,0.28,81,1.24,73.6,1.176,70,1.042,47.7,-1.223,11.1,0.93,28.8,-0.51,16.6,0.728,18.8,0.19,1.32,-0.52,4.1,-0.1,4.6,0.52,35.6,1.08,40.6,0.88,51,-0.34,77,-0.61,72.6,0.726,71.8,0.276,84.4,-0.234,51.7,1.868,81.8,0.313,0.451,4.39,-1.32,8.2,1.862,-0.06,36.5,0.34,9,-1.41,8.3,0.241,52219,0.03,31,0.47,14.2,4.5,0.34,-0.225,44815,0.007,6.3,-0.34,72.2,-0.58,27.8,0.58,3.6,-0.21,3.9,0,7729,0.542,12.3,0.49,53.9,-0.662,112.8,-0.402,105.09,0.39,16.3,-0.11,19.6,0.17,3.5,0.99,13.5,0.141,25,5.4,0,13.5,-0.117,6.7,-0.445,1.68,-1.5,547.4,1.241,14.2
District of Columbia,11.3,,,,22.4,,201.4,,288.2,,37.2,,1101.6,,80.9,0,68.8,,71.1,,107.6,,7.8,,28.4,,13.9,,23.8,,1.56,,4.1,,2.6,,28.4,,34,,60.4,,71,,68.2,,76.9,,83.1,,30.2,,91.3,,0.532,7.17,,7.8,,,35.8,,6.3,,9.6,,60675,,22.8,,14.8,4.2,0.19,,75329,,4.2,,80.5,,19.5,,3.6,,3.3,,8531,,,,47.2,-1.155,324.6,2,435.96,,11.3,,18.8,,3.2,,5.7,,38.6,3,,14.1,,8.3,,2.06,,1243.7,,
Florida,7.4,-1.4,-0.098,-0.051,15.6,-0.39,182.7,-0.42,223,-0.76,19.3,-0.03,407.4,-0.43,79.5,0.84,67.8,0.106,59.8,0.89,54.7,-0.625,11.2,1,29.1,-0.45,15.2,0.445,17.6,-0.19,1.46,0.52,5.6,1.44,5,0.94,34.6,0.82,40.3,0.76,49.6,-0.63,75,-0.91,63.8,-0.44,70,-0.079,84.8,-0.175,34.3,-0.437,72.3,-0.43,0.484,4.65,-0.71,6.3,0.254,0.37,36.8,0.42,20,1.36,8.6,0.483,47886,-0.49,26.4,-0.89,11.6,3.1,-0.34,-0.15,41497,-0.425,3,-0.47,72.3,-0.55,27.7,0.55,4.1,0.83,4.5,1.09,7116,0.101,13.7,1.33,59.3,-0.265,110,-0.507,57.98,-0.83,34.2,1.99,16.8,-0.62,3.7,1.28,14.9,0.469,28,5.7,0.14,14.3,0.195,7.2,-0.127,1.95,0.43,487.1,0.775,10.8
