state,Air_Pollution,Colorectal_Cancer_Screening,Dentists,Drug_Death,Excessive_Drinking,Fruits,Heart_Disease,High_School_Graduation,Immunization_Adolescents,Immunization_Children,HPV,Infant_Mortality,Infectious_Disease,Insufficient_Sleep,Youth_obesity,Occupational_Fatalities,Pertussis,Physical_Activity,Poor_Mental_Health_Days,Poor_Physical_Health_Days,Preterm_Birth,Primary_Care_Physicians,Public_Health_Funding,Salmonella,Smoking,Suicide,Teen_Birth_Rate,Violent_Crime,Youth_Smoking,happyscore,happy_bool
AK,4.9,58.4,80.9,14.4,21.1,1.4,3.2,79,52.2,63.9,27.1,4.5,0.72,35.3,12.4,6.1,48.8,77.7,3.1,3.7,9.2,113.2,218.51,8.1,22.6,23.2,34.5,603.2,10.6,5.09676939662,False
AL,10.0,67.7,43.8,11.7,12.3,1.15,5.3,75,65.5,77.0,39.6,8.6,0.65,37.5,17.1,5.3,4.4,68.5,4.4,4.9,14.6,101.9,116.5,23.9,21.5,15.0,39.2,449.9,18.0,5.18385078282,False
AR,10.3,58.4,41.7,12.6,13.7,1.21,5.3,78,47.5,57.1,24.4,7.2,0.9,36.1,17.8,7.5,8.4,65.6,4.4,4.8,13.3,102.6,98.62,47.8,25.9,16.7,45.7,469.1,19.1,5.22777959682,True
AZ,9.9,60.5,55.0,17.7,14.8,1.36,4.1,77,69.5,65.1,37.4,5.9,-0.1,34.6,10.7,3.2,17.5,74.8,3.9,4.4,11.6,98.4,43.55,13.3,16.3,18.0,37.4,428.9,14.1,5.21000951131,True
CA,13.9,68.7,78.0,11.0,18.9,1.67,3.1,82,72.6,69.3,45.8,4.6,-0.4,33.7,,3.2,2.1,78.6,3.8,3.9,9.6,122.2,104.4,12.1,12.5,10.5,26.5,423.1,,5.19767842272,True
CO,6.8,67.2,69.4,14.8,19.9,1.47,2.5,82,66.6,69.2,39.1,5.1,-0.22,29.0,,4.2,29.2,82.1,3.3,3.4,10.4,120.7,85.22,9.9,17.7,20.2,25.4,308.9,,5.24598320593,True
CT,8.7,74.0,79.1,11.0,19.5,1.5,4.0,86,73.8,78.2,40.1,5.1,-0.59,34.9,12.3,2.8,5.1,75.1,3.5,3.4,9.7,166.7,71.06,12.4,15.5,10.0,15.1,283.0,13.5,5.16479478587,False
DC,11.3,68.8,107.6,13.9,23.8,1.56,2.6,71,68.2,76.9,30.2,7.8,,35.8,14.8,4.2,4.2,80.5,3.6,3.3,,324.6,435.96,11.3,18.8,5.7,38.6,1243.7,,5.12801288487,False
DE,10.2,73.6,47.7,16.6,18.8,1.32,4.6,77,72.6,71.8,51.7,8.2,-0.06,36.5,14.2,4.5,6.3,72.2,3.6,3.9,12.3,112.8,105.09,16.3,19.6,13.5,25.0,547.4,14.2,5.09966297381,False
FL,7.4,67.8,54.7,15.2,17.6,1.46,5.0,75,63.8,70.0,34.3,6.3,0.37,36.8,11.6,3.1,3.0,72.3,4.1,4.5,13.7,110.0,57.98,34.2,16.8,14.9,28.0,487.1,10.8,5.16513910673,False
GA,10.3,69.3,47.3,10.8,14.3,1.29,3.7,70,64.0,69.8,33.2,6.6,0.45,38.3,12.7,4.4,3.2,72.8,3.4,3.8,12.7,105.4,60.0,26.9,18.8,12.0,33.8,378.9,12.8,5.1330954153,False
